"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"00705","STANDARD","AIBONITO","PR","PRIMARY",18.14,-66.26,"NA-US-PR-AIBONITO","false",,,
"00610","STANDARD","ANASCO","PR","PRIMARY",18.28,-67.14,"NA-US-PR-ANASCO","false",,,
"00611","PO BOX","ANGELES","PR","PRIMARY",18.28,-66.79,"NA-US-PR-ANGELES","false",,,
"00612","STANDARD","ARECIBO","PR","PRIMARY",18.45,-66.73,"NA-US-PR-ARECIBO","false",,,
"00601","STANDARD","ADJUNTAS","PR","PRIMARY",18.16,-66.72,"NA-US-PR-ADJUNTAS","false",,,
"00631","PO BOX","CASTANER","PR","PRIMARY",18.19,-66.82,"NA-US-PR-CASTANER","false",,,
"00602","STANDARD","AGUADA","PR","PRIMARY",18.38,-67.18,"NA-US-PR-AGUADA","false",,,
"00603","STANDARD","AGUADILLA","PR","PRIMARY",18.43,-67.15,"NA-US-PR-AGUADILLA","false",,,
"00604","PO BOX","AGUADILLA","PR","PRIMARY",18.43,-67.15,"NA-US-PR-AGUADILLA","false",,,
"00605","PO BOX","AGUADILLA","PR","PRIMARY",18.43,-67.15,"NA-US-PR-AGUADILLA","false",,,
"00703","STANDARD","AGUAS BUENAS","PR","PRIMARY",18.25,-66.10,"NA-US-PR-AGUAS BUENAS","false",,,
"00704","STANDARD","AGUIRRE","PR","PRIMARY",17.96,-66.22,"NA-US-PR-AGUIRRE","false",,,
"07675","STANDARD","WESTWOOD","NJ","PRIMARY",40.98,-74.03,"NA-US-NJ-WESTWOOD","false",13245,24083,1089095041
"07677","STANDARD","WOODCLIFF LAKE","NJ","PRIMARY",41.02,-74.05,"NA-US-NJ-WOODCLIFF LAKE","false",2945,5471,325436960
"07885","STANDARD","WHARTON","NJ","PRIMARY",40.89,-74.58,"NA-US-NJ-WHARTON","false",5273,8999,240827990
"07981","STANDARD","WHIPPANY","NJ","PRIMARY",40.82,-74.41,"NA-US-NJ-WHIPPANY","false",4585,8057,292096795
"07999","STANDARD","WHIPPANY","NJ","PRIMARY",40.82,-74.41,"NA-US-NJ-WHIPPANY","false",,,
"08888","PO BOX","WHITEHOUSE","NJ","PRIMARY",40.62,-74.76,"NA-US-NJ-WHITEHOUSE","false",,,
"08889","STANDARD","WHITEHOUSE STATION","NJ","PRIMARY",40.60,-74.76,"NA-US-NJ-WHITEHOUSE STATION","false",4691,8570,401312434
"07095","STANDARD","WOODBRIDGE","NJ","PRIMARY",40.55,-74.28,"NA-US-NJ-WOODBRIDGE","false",10018,17272,528315021
"07481","STANDARD","WYCKOFF","NJ","PRIMARY",40.99,-74.16,"NA-US-NJ-WYCKOFF","false",8079,15208,896273759
"10451","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",19434,31477,471446942
"10452","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",33517,56277,723508523
"10453","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",34152,57691,699611756
"10454","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",13139,22387,273119576
"10455","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",14914,25139,325274189
"10456","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",34793,58750,732907466
"10457","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",29023,48779,614273091
"10458","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",29920,50085,693447254
"10459","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",17977,30434,414021653
"10460","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",23466,39507,531807385
"10461","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",21862,35421,839765651
"10462","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",35620,57854,1197519842
"10463","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",31592,50313,1284853119
"10464","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",2131,3381,108256016
"10465","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",18686,30798,817052868
"10466","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",29153,47658,924776075
"10467","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",39540,64907,1114305720
"10468","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",34706,55824,840612915
"10469","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",28964,47625,1017556583
"10470","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",7000,10880,260963512
"10471","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",9876,15606,623827705
"10472","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",26025,43761,630416228
"10473","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",26122,42812,817850845
"10474","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",4369,7377,97578251
"10475","STANDARD","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",21124,31659,740068715
"10499","UNIQUE","BRONX","NY","PRIMARY",40.84,-73.87,"NA-US-NY-BRONX","false",,,
"10001","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",12534,16553,1031960117
"10002","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",45236,70604,1394042364
"10003","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",28817,36569,
"10004","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",1967,2909,333623384
"10005","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",4697,6293,791578339
"10006","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",2236,2849,240075649
"10007","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",3551,5396,1143186856
"10008","PO BOX","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",550,732,27103411
"10009","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",31275,42731,1572036810
"10010","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",17401,22785,2084544435
"10011","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",30434,38784,1264531973
"10012","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",13415,17738,1529644615
"10013","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",15981,24199,450956340
"10014","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",19374,24292,
"10016","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",31673,40683,1412438620
"10017","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",15803,19975,1685441363
"10018","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",4416,5928,810026753
"10019","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",24515,31889,
"10020","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",1134,1926,207363546
"10021","STANDARD","NEW YORK","NY","PRIMARY",40.77,-73.95,"NA-US-NY-NEW YORK","false",29820,42627,1022024689
"10022","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",20815,29014,731534552
"10023","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",34334,48044,1270483799
"10024","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",31925,47261,1108944328
"10025","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",47778,70190,1675737238
"10026","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",16054,24221,647150670
"10027","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",25372,37948,918919244
"10028","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",25557,36525,964357485
"10029","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",31490,48403,1050141146
"10030","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",11541,17771,345769267
"10031","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",26900,40901,718068721
"10032","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",29755,45758,754754912
"10033","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",30134,45474,881087274
"10034","STANDARD","NEW YORK","NY","PRIMARY",40.71,-73.99,"NA-US-NY-NEW YORK","false",20855,32614,604187876
"00613","PO BOX","ARECIBO","PR","PRIMARY",18.45,-66.73,"NA-US-PR-ARECIBO","false",,,
"00614","PO BOX","ARECIBO","PR","PRIMARY",18.45,-66.73,"NA-US-PR-ARECIBO","false",,,
"00714","STANDARD","ARROYO","PR","PRIMARY",17.97,-66.06,"NA-US-PR-ARROYO","false",,,
"00616","STANDARD","BAJADERO","PR","PRIMARY",18.40,-66.66,"NA-US-PR-BAJADERO","false",,,
"00617","STANDARD","BARCELONETA","PR","PRIMARY",18.45,-66.53,"NA-US-PR-BARCELONETA","false",,,
"00794","STANDARD","BARRANQUITAS","PR","PRIMARY",18.18,-66.30,"NA-US-PR-BARRANQUITAS","false",,,
"00622","STANDARD","BOQUERON","PR","PRIMARY",17.99,-67.15,"NA-US-PR-BOQUERON","false",,,
"00623","STANDARD","CABO ROJO","PR","PRIMARY",18.08,-67.14,"NA-US-PR-CABO ROJO","false",,,
"00627","STANDARD","CAMUY","PR","PRIMARY",18.48,-66.84,"NA-US-PR-CAMUY","false",,,
"00729","STANDARD","CANOVANAS","PR","PRIMARY",18.37,-65.90,"NA-US-PR-CANOVANAS","false",,,
"00979","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00981","PO BOX","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00982","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00983","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00984","PO BOX","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00985","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00986","PO BOX","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00987","STANDARD","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
"00988","PO BOX","CAROLINA","PR","PRIMARY",18.40,-65.98,"NA-US-PR-CAROLINA","false",,,
